TU,Genes,regulator_notes,regulator_genes,Bnb,ECKnb,Promoter
ybcN-ninE-ybcO-rusA-ylcG,"ylcG,rusA,ybcO,ninE,ybcN",,,"b4509,b0550,b0549,b0548,b0547","ECK0542,ECK0541,ECK0540,ECK0539,ECK0538",
mpl,mpl,,,b4233,ECK4228,mplp2
hicAB,"hicB,hicA",antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB,hicB,"b1438,b4532","ECK1432,ECK1431",hicAp2
pgsA,pgsA,,,b1912,ECK1911,pgsAp
metR,metR,"DNA-binding transcriptional dual regulator OxyR,DNA-binding transcriptional repressor MetJ-<i>S</i>-adenosyl-L-methionine,MetR-L-homocysteine,DNA-binding transcriptional dual regulator Nac","oxyR,metJ,metR,nac",b3828,ECK3822,metRp1
igaA,igaA,DNA-binding transcriptional dual regulator ArcA-phosphorylated,arcA,b3398,ECK3385,
ppsR,ppsR,DNA-binding transcriptional dual regulator PdhR,pdhR,b1703,ECK1701,
pflB,pflB,DNA-binding transcriptional dual regulator YeiE,yeiE,b0903,ECK0894,pflBp2
fsaA,fsaA,,,b0825,ECK0815,
rcsDB,"rcsB,rcsD",DNA-binding transcriptional dual regulator H-NS,hns,"b2217,b2216","ECK2210,ECK2209",rcsDp
ygjI,ygjI,"DNA-binding transcriptional repressor GlaR,DNA-binding transcriptional dual regulator Nac","glaR,nac",b3078,ECK3068,
trxA,trxA,,,b3781,ECK3773,trxAp2
moeAB,"moeB,moeA","DNA-binding transcriptional dual regulator NsrR,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator NarL-phosphorylated,DNA-binding transcriptional dual regulator Nac","nsrR,fnr,arcA,narL,nac","b0826,b0827","ECK0816,ECK0817",moeAp
appCBA-yccB,"appX,appC,appB,appA","DNA-binding transcriptional dual regulator ArcA-phosphorylated,DLP12 prophage; DNA-binding transcriptional activator AppY,DNA-binding transcriptional dual regulator YdeO","arcA,appY,ydeO","b4592,b0978,b0979,b0980","ECK4402,ECK0969,ECK0970,ECK0971",appCp2
rpe-gph-trpS,"trpS,gph,rpe",,,"b3384,b3385,b3386","ECK3371,ECK3372,ECK3373",rpep
lysQ,lysQ,,,b0749,ECK0738,
asnC-mioC,"mioC,asnC","DNA-binding transcriptional dual regulator AsnC,DNA-binding transcriptional dual regulator Nac","asnC,nac","b3742,b3743","ECK3736,ECK3737",asnCp
gntR,gntR,,,b3438,ECK3423,gntRp2
aer,aer,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator Lrp","crp,fnr,lrp",b3072,ECK3062,aerp
cobUST,"cobT,cobS,cobU",DNA-binding transcriptional dual regulator Nac,nac,"b1991,b1992,b1993","ECK1986,ECK1987,ECK1988",cobUp2
fetAB,"fetB,fetA",,,"b0491,b0490","ECK0485,ECK0484",fetAp
pdxH-tyrS-pdxY,"pdxY,tyrS,pdxH",,,"b1636,b1637,b1638","ECK1632,ECK1633,ECK1634",pdxHp
sokX,sokX,,,b4701,ECK4514,
yobB-exoX,"exoX,yobB",DNA-binding transcriptional dual regulator Nac,nac,"b1844,b1843","ECK1845,ECK1844",
pgl,pgl,DNA-binding transcriptional dual regulator Lrp,lrp,b0767,ECK0756,
mscL,mscL,DNA-binding transcriptional dual regulator Nac,nac,b3291,ECK3277,mscLp
mepH,mepH,DNA-binding transcriptional dual regulator NsrR,nsrR,b1655,ECK1651,mepHp
tehAB,"tehA,tehB","DNA-binding transcriptional dual regulator NsrR,DNA-binding transcriptional repressor GlaR","nsrR,glaR","b1429,b1430","ECK1422,ECK1423",tehAp
cspF,cspF,,,b1558,ECK1552,
yraM,lpoA,,,b3147,ECK3135,
ygiV,ygiV,"DNA-binding transcriptional repressor GlaR,DNA-binding transcriptional dual regulator Lrp","glaR,lrp",b3023,ECK3014,
exbD,exbD,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,fur,b3005,ECK2998,exbDp
hemCDXY,"hemY,hemX,hemD,hemC",,,"b3802,b3803,b3804,b3805","ECK3796,ECK3797,ECK3798,ECK3799",
recAX,"recX,recA",DNA-binding transcriptional repressor LexA,lexA,"b2698,b2699","ECK2693,ECK2694",recAp
ftsZ,ftsZ,ArgR-L-arginine DNA-binding transcriptional dual regulator,argR,b0095,ECK0096,ftsZp3
miaB,miaB,,,b0661,ECK0653,
yeiL,yeiL,"DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional activator YeiL","fnr,lrp,ihfA,ihfB,yeiL",b2163,ECK2156,yeiLp
arrS,arrS,,,b4704,ECK4516,arrSp2
rnlB,rnlB,DNA-binding transcriptional dual regulator Nac,nac,b2631,ECK2627,rnlBp2
macB,macB,,,b0879,ECK0870,
ffs,ffs,,,b0455,ECK0449,
intG,intG,,,b1936,ECK1934,
paaJ,paaJ,,,b1397,ECK1394,paaJp3
pdeD,pdeD,,,b1815,ECK1813,
ompT,ompT,"DNA-binding transcriptional dual regulator PhoP-phosphorylated,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","phoP,lrp,nac",b0565,ECK0557,ompTp
yhcF,yhcF,,,b3219,ECK3208,
cof,cof,,,b0446,ECK0440,
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,"rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW,rplD,rplC,rpsJ","DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator FNR","arcA,fnr","b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321","ECK3298,ECK3299,ECK3300,ECK3301,ECK3302,ECK3303,ECK3304,ECK3305,ECK3306,ECK3307,ECK3308",rpsJp
mngB,mngB,,,b0732,ECK0720,mngBp2
yfhG,qseG,,,b2555,ECK2552,
hemL,hemL,"DNA-binding transcriptional dual regulator PdhR,DNA-binding transcriptional dual regulator PhoP-phosphorylated","pdhR,phoP",b0154,ECK0153,hemLp
metNIQ,"metQ,metI,metN","HypT-[Met-oxidized] DNA-binding transcriptional dual regulator,DNA-binding transcriptional repressor MetJ-<i>S</i>-adenosyl-L-methionine","hypT,metJ","b0197,b0198,b0199","ECK0197,ECK0198,ECK0199",metNp
ynfK,bidA,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator FNR","nac,fnr",b1593,ECK1588,
osmY,osmY,"DNA-binding transcriptional dual regulator IHF,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional regulator FliZ,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator ArcA-phosphorylated","ihfA,ihfB,crp,fis,fliZ,nac,lrp,arcA",b4376,ECK4367,osmYp2
ygiH,plsY,,,b3059,ECK3049,
ybeM,ybeM,,,b4581,ECK0618,
pppA,pppA,,,b2972,ECK2967,
galE,galE,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator HU,DNA-binding transcriptional dual regulator GalR,DNA-binding transcriptional dual regulator GalS","crp,hns,hupA,hupB,galR,galS",b0759,ECK0748,galEp
yadV-htrE,"htrE,yadV","DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","ihfA,ihfB,lrp,nac,glaR","b0139,b0140","ECK0138,ECK0139",yadVp1
zinT,zinT,"DNA-binding transcriptional dual regulator OxyR,Zur-Zn<sup>2+</sup> DNA-binding transcriptional repressor,DNA-binding transcriptional dual regulator SoxS,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator","oxyR,zur,soxS,fur",b1973,ECK1969,zinTp
yjjUV,"yjjV,yjjU",,,"b4378,b4377","ECK4370,ECK4369",
mrcA,mrcA,,,b3396,ECK3383,mrcAp
cedA,cedA,,,b1731,ECK1729,cedAp
dgcJ,dgcJ,DNA-binding transcriptional dual regulator Lrp,lrp,b1786,ECK1784,
yahE,yahE,,,b0319,ECK0317,yahEp
yraR,yraR,,,b3152,ECK3140,yraRp
ppnP,ppnP,,,b0391,ECK0386,ppnPp
rcsC,rcsC,,,b2218,ECK2211,
secMA-mutT,"mutT,secA,secM",,,"b0099,b0098,b0097","ECK0100,ECK0099,ECK0098",
yadN,yadN,DNA-binding transcriptional repressor GlaR,glaR,b0141,ECK0140,
yhhY,yhhY,"Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional activator ZraR-phosphorylated","fur,zraR",b3441,ECK3427,yhhYp
iscRSUA,"iscA,iscU,iscS,iscR",DNA-binding transcriptional repressor IscR-a [2Fe-2S] iron-sulfur cluster,iscR,"b2528,b2529,b2530,b2531","ECK2525,ECK2526,ECK2527,ECK2528",iscRp
ydfUT,"ydfU,ydfT",,,"b1560,b1559","ECK1554,ECK1553",
ybdG,ybdG,DNA-binding transcriptional dual regulator Lrp,lrp,b0577,ECK0569,
yfgO,yfgO,,,b2493,ECK2489,
yrbN-deaD,"deaD,yrbN",DNA-binding transcriptional dual regulator Lrp,lrp,"b3162,b4685","ECK3150,ECK4500",yrbNp2
ssrS-ygfA,"fau,ssrS","DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional repressor StpA with RNA chaperone activity,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator H-NS","fis,stpA,lrp,hns","b2912,b2911","ECK2907,ECK2906",ssrSp1
insK,insK,"DNA-binding transcriptional repressor LexA,DNA-binding transcriptional dual regulator Nac","lexA,nac",b3558,ECK3546,insKp
caiTABCDE,"caiE,caiD,caiC,caiB,caiA,caiT","DNA-binding transcriptional dual regulator H-NS,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,CaiF-L-carnitine DNA-binding Transcriptional Activator,DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator FNR","hns,crp,caiF,arcA,fnr","b0035,b0036,b0037,b0038,b0039,b0040","ECK0036,ECK0037,ECK0038,ECK0039,ECK0040,ECK0041",caiTp
guaC,guaC,,,b0104,ECK0104,
yjiML,"yjiM,yjiL",DNA-binding transcriptional dual regulator Lrp,lrp,"b4335,b4334","ECK4326,ECK4325",
hxpB,hxpB,DNA-binding transcriptional dual regulator Nac,nac,b1727,ECK1725,hxpBp
phoPQ,"phoQ,phoP",DNA-binding transcriptional dual regulator PhoP-phosphorylated,phoP,"b1129,b1130","ECK1115,ECK1116",phoPp2
alx,alx,,,b3088,ECK3079,
uxaCA,"uxaA,uxaC",DNA-binding transcriptional dual regulator Nac,nac,"b3091,b3092","ECK3082,ECK3083",uxaCp1
nuoABCEFGHIJKLMN,"nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA","DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator NarL-phosphorylated,DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional dual regulator Lrp","fnr,arcA,ihfA,ihfB,narL,cpxR,lrp","b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288","ECK2270,ECK2271,ECK2272,ECK2273,ECK2274,ECK2275,ECK2276,ECK2277,ECK2278,ECK2279,ECK2280,ECK2281,ECK2282",nuoAp2
yahIJ,"yahJ,yahI",,,"b0324,b0323","ECK0322,ECK0321",
modABC,"modC,modB,modA",DNA-binding transcriptional dual regulator Lrp,lrp,"b0765,b0764,b0763","ECK0754,ECK0753,ECK0752",modAp1
argH,argH,,,b3960,ECK3951,
sodB,sodB,"DNA-binding transcriptional dual regulator NsrR,DNA-binding transcriptional dual regulator IHF,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","nsrR,ihfA,ihfB,crp",b1656,ECK1652,sodBp
rpiA,rpiA,DNA-binding transcriptional dual regulator Lrp,lrp,b2914,ECK2910,rpiAp
sfmA,sfmA,,,b0530,ECK0523,
sad,sad,DNA-binding transcriptional dual regulator Lrp,lrp,b1525,ECK1518,
mngAB,"mngB,mngA",DNA-binding transcriptional repressor MngR,mngR,"b0732,b0731","ECK0720,ECK0719",mngAp
yegH,yegH,"DNA-binding transcriptional dual regulator PhoB-phosphorylated,DNA-binding transcriptional dual regulator Nac","phoB,nac",b2063,ECK2057,yegHp
msyB,msyB,,,b1051,ECK1037,msyBp
yqeB,yqeB,DNA-binding transcriptional dual regulator Nac,nac,b2875,ECK2871,
rydB,rydB,,,b4430,ECK1681,
accBC,"accB,accC",biotin carboxyl carrier protein (dimer),accB,"b3255,b3256","ECK3242,ECK3243",accBp1
dsrB,dsrB,,,b1952,ECK1950,
yjhE,yjhE,,,b4282,ECK4272,
ygiL,ygiL,DNA-binding transcriptional dual regulator Nac,nac,b3043,ECK3034,
rpsA-ihfB,"ihfB,rpsA",,,"b0912,b0911","ECK0903,ECK0902",rpsAp1
kdpDE,"kdpE,kdpD",,,"b0694,b0695","ECK0682,ECK0683",
murQP,"murP,murQ","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator MurR","crp,murR","b2429,b2428","ECK2424,ECK2423",murQp1
ftsZ,ftsZ,ArgR-L-arginine DNA-binding transcriptional dual regulator,argR,b0095,ECK0096,ftsZp4
dnaN-recF,"recF,dnaN",,,"b3700,b3701","ECK3692,ECK3693",dnaNp1
aroKB-damX-dam-rpe-gph-trpS,"trpS,gph,rpe,dam,damX,aroB,aroK","DNA-binding transcriptional repressor GlaR,ArgR-L-arginine DNA-binding transcriptional dual regulator","glaR,argR","b3384,b3385,b3386,b3387,b3388,b3389,b3390","ECK3371,ECK3372,ECK3373,ECK3374,ECK3375,ECK3376,ECK3377",aroKp1
ecpBCDE,"ecpB,ecpC,ecpD,ecpE",,,"b0292,b0291,b0290,b0289","ECK0291,ECK0290,ECK0289,ECK0288",ecpBp1
eno,eno,DNA-binding transcriptional dual regulator Lrp,lrp,b2779,ECK2773,enop4
sdsN,sdsN,,,b4719,ECK4576,sdsNp1
ybaN,ybaN,DNA-binding transcriptional repressor GlaR,glaR,b0468,ECK0462,
galP,galP,"DNA-binding transcriptional dual regulator NagC,GalS-D-galactose,GalR-D-galactose,DNA-binding transcriptional dual regulator GalR,DNA-binding transcriptional dual regulator GalS,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","nagC,galS,galR,crp",b2943,ECK2938,galPp
btuE,btuE,DNA-binding transcriptional dual regulator Lrp,lrp,b1710,ECK1708,btuEp2
maeA,maeA,,,b1479,ECK1473,
glnQ,glnQ,"DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Lrp","fis,lrp",b0809,ECK0798,glnQp
ydeJ,ydeJ,DNA-binding transcriptional dual regulator FNR,fnr,b1537,ECK1530,ydeJp
blr,blr,,,b4409,ECK1620,blrp
ygeF,ygeF,,,b2850,ECK2848,
amiC,amiC,DNA-binding transcriptional dual regulator Lrp,lrp,b2817,ECK2813,
araBAD,"araD,araA,araB","DNA-binding transcriptional dual regulator AraC,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,AraC-&alpha;-L-arabinopyranose DNA-binding transcriptional activator","araC,crp","b0061,b0062,b0063","ECK0062,ECK0063,ECK0064",araBp
yqhG,yqhG,RcsB-BglJ DNA-binding transcriptional activator,"bglJ,rcsB",b3013,ECK3005,yqhGp
ytfQRT-yjfF,"yjfF,ytfT,ytfR,ytfQ",DNA-binding transcriptional dual regulator AraC,araC,"b4231,b4230,b4485,b4227","ECK4226,ECK4225,ECK4224,ECK4223",
fliFGHIJK,"fliF,fliG,fliH,fliI,fliJ,fliK",,,"b1938,b1939,b1940,b1941,b1942,b1943","ECK1936,ECK1937,ECK1938,ECK1939,ECK1940,ECK1941",fliFp2
feaR,feaR,DNA-binding transcriptional dual regulator Nac,nac,b1384,ECK1381,feaRp
flgAMN,"flgN,flgM,flgA",FlhDC DNA-binding transcriptional dual regulator,"flhD,flhC","b1070,b1071,b1072","ECK1055,ECK1056,ECK1057",flgAp
ecnB,ecnB,"DNA-binding transcriptional dual regulator OmpR-phosphorylated,DNA-binding transcriptional dual regulator Nac","ompR,nac",b4411,ECK4143,ecnBp
qorA,qorA,,,b4051,ECK4043,qorAp
moaABCDE,"moaE,moaD,moaC,moaB,moaA",DNA-binding transcriptional dual regulator ModE-molybdate,modE,"b0785,b0784,b0783,b0782,b0781","ECK0774,ECK0773,ECK0772,ECK0771,ECK0770",moaAp2
xapR,xapR,DNA-binding transcriptional dual regulator Nac,nac,b2405,ECK2399,xapRp1
"insN-1p,insO1,insI1,insN","insI1,insN",,,"b0256,b4587","ECK0258,ECK0257",insN-1p
acrD,acrD,"DNA-binding transcriptional activator BaeR-phosphorylated,DNA-binding transcriptional dual regulator CpxR-phosphorylated","baeR,cpxR",b2470,ECK2465,acrDp2
metG,metG,,,b2114,ECK2107,metGp2
yajR,yajR,,,b0427,ECK0421,yajRp
yhfG-fic-pabA,"pabA,fic,yhfG",,,"b3360,b3361,b3362","ECK3348,ECK3349,ECK3350",yhfGp
allB,allB,,,b0512,ECK0505,allBp1
ortT,ortT,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator FNR","crp,nac,fnr",b1445,ECK1439,
yfdX,"yfdE,yfdV,oxc,frc,yfdX","DNA-binding transcriptional activator EvgA-phosphorylated,DNA-binding transcriptional repressor GlaR","evgA,glaR","b2371,b2372,b2373,b2374,b2375","ECK2367,ECK2368,ECK2369,ECK2370,ECK2371",yfdXp
ychH,ychH,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,b1205,ECK1193,ychHp
dicF,dicF,,,b1574,ECK1568,
mltA,mltA,DNA-binding transcriptional dual regulator FNR,fnr,b2813,ECK2809,
ygdI,ygdI,,,b2809,ECK2805,
adhE,adhE,"DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional dual regulator NarL-phosphorylated,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator FNR","cra,narL,fis,lrp,fnr",b1241,ECK1235,adhEp1
rsmE-gshB,"gshB,rsmE",,,"b2947,b2946","ECK2942,ECK2941",
rsgA,rsgA,DNA-binding transcriptional repressor GlaR,glaR,b4161,ECK4157,
dadAX,"dadA,dadX","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","crp,lrp,nac","b1189,b1190","ECK1177,ECK1178",dadAp2
hydN-hypF,"hypF,hydN","FhlA-formate DNA-binding transcriptional activator,FlhDC DNA-binding transcriptional dual regulator","fhlA,flhD,flhC","b2712,b2713","ECK2707,ECK2708",hydNp
lgoT,lgoT,,,b4356,ECK4346,
kup,kup,,,b3747,ECK3741,kupp3
hyfABCDEFGHIJR-focB,"focB,hyfR,hyfJ,hyfI,hyfH,hyfG,hyfF,hyfE,hyfD,hyfC,hyfB,hyfA","DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional activator HyfR,FhlA-formate DNA-binding transcriptional activator,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","fnr,hyfR,fhlA,crp","b2492,b2491,b2490,b2489,b2488,b2487,b2486,b2485,b2484,b2483,b2482,b2481","ECK2488,ECK2487,ECK2486,ECK2485,ECK2484,ECK2483,ECK2482,ECK2481,ECK2480,ECK2479,ECK2478,ECK2477",hyfAp
ytfE,ytfE,"DNA-binding transcriptional dual regulator NarP-phosphorylated,DNA-binding transcriptional dual regulator NarL-phosphorylated,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator NsrR","narP,narL,fnr,nsrR",b4209,ECK4205,ytfEp
ivbL-ilvBN-uhpABC,"uhpC,uhpB,uhpA,ilvN,ilvB,ivbL",DNA-binding transcriptional dual regulator Nac,nac,"b3667,b3668,b3669,b3670,b3671,b3672","ECK3658,ECK3659,ECK3660,ECK3661,ECK3662,ECK3663",
dnaQ,dnaQ,,,b0215,ECK0215,
insC1CD1D1,"insD1,insC1,insCD1",,,"b0361,b0360","ECK0358,ECK0357",
ralA,ralA,,,b4714,ECK4571,ralAp
fucO,fucO,,,b2799,ECK2794,fucOp
rplT,rplT,DNA-binding transcriptional dual regulator FNR,fnr,b1716,ECK1714,rplTp
sthA,sthA,"DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator ArcA-phosphorylated","lrp,arcA",b3962,ECK3954,sthAp
ydcF,ydcF,,,b1414,ECK1407,
ydfI,ydfI,DNA-binding transcriptional repressor GlaR,glaR,b1542,ECK1535,
ybjM,ybjM,,,b0848,ECK0839,
yfbK,yfbK,DNA-binding transcriptional dual regulator Nac,nac,b2270,ECK2264,
cas3,cas3,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,b2761,ECK2756,cas3p
idi,idi,,,b2889,ECK2884,
gltBDF,"gltB,gltD,gltF","Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional activator AdiY,DNA-binding transcriptional dual regulator HdfR,DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator FNR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional activator GadE,DNA-binding transcriptional dual regulator IHF,ArgR-L-arginine DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator YeiE,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","fur,adiY,hdfR,lrp,fnr,crp,gadE,ihfA,ihfB,argR,yeiE,nac,glaR","b3212,b3213,b3214","ECK3202,ECK3203,ECK3204",gltBp
arsRBC,"arsR,arsB,arsC",DNA-binding transcriptional repressor ArsR,arsR,"b3501,b3502,b3503","ECK3486,ECK3487,ECK3488",arsRp
yjdP,yjdP,DNA-binding transcriptional repressor GlaR,glaR,b4487,ECK4084,
sgcXBCQAER,"sgcX,sgcB,sgcC,sgcQ,sgcA,sgcE,sgcR","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator SlyA,DNA-binding transcriptional repressor GlaR","crp,slyA,glaR","b4305,b4565,b4304,b4303,b4302,b4301,b4300","ECK4295,ECK4294,ECK4293,ECK4292,ECK4291,ECK4290,ECK4289",
putA,putA,"DNA-binding transcriptional dual regulator BasR-phosphorylated,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,DNA-binding transcriptional dual regulator MarA,DNA-binding transcriptional dual regulator YeiE,DNA-binding transcriptional dual regulator ArcA-phosphorylated","basR,putA,marA,yeiE,arcA",b1014,ECK1005,putAp
yiaKLMNO-lyx-sgbHUE,"yiaM,sgbE,sgbU,sgbH,lyxK,yiaO,yiaN,yiaL,yiaK","DNA-binding transcriptional repressor PlaR,DNA-binding transcriptional dual regulator IHF,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","plaR,ihfA,ihfB,crp","b3577,b3583,b3582,b3581,b3580,b3579,b3578,b3576,b3575","ECK3566,ECK3572,ECK3571,ECK3570,ECK3569,ECK3568,ECK3567,ECK3565,ECK3564",yiaKp1
ucpA,ucpA,,,b2426,ECK2421,ucpAp2
fadR,fadR,FadR-an acyl-CoA,fadR,b1187,ECK1175,fadRp1
gltIJKL-sroC,"sroC,gltL,gltK,gltJ,gltI",FlhDC DNA-binding transcriptional dual regulator,"flhD,flhC","b4763,b0652,b0653,b0654,b0655","ECK4620,ECK0645,ECK0646,ECK0647,ECK0648",gltIp1
chpSB,"chpB,chpS",DNA-binding transcriptional dual regulator Nac,nac,"b4225,b4224","ECK4221,ECK4220",chpSp2
yaeH,yaeH,,,b0163,ECK0162,
rclR,rclR,,,b0305,ECK0304,
ghoST,"ghoT,ghoS",,,"b4559,b4128","ECK4122,ECK4121",ghoSp
serW,serW,,,b0883,ECK0874,serWp1
pheMST-ihfA,"ihfA,pheM,pheT,pheS",,,"b1712,b1715,b1713,b1714","ECK1710,ECK1713,ECK1711,ECK1712",pheMp
hcaR,hcaR,"DNA-binding transcriptional dual regulator HcaR,DNA-binding transcriptional dual regulator Nac","hcaR,nac",b2537,ECK2534,hcaRp
ynaK-ydaY,"ydaY,ynaK",DNA-binding transcriptional dual regulator Nac,nac,"b1366,b1365","ECK1364,ECK1363",
yneL,yneL,,,b1506,ECK1499,
yqgC,yqgC,,,b2940,ECK2935,
yebQ,yebQ,DNA-binding transcriptional dual regulator Nac,nac,b1828,ECK1827,
yqaE,yqaE,DNA-binding transcriptional dual regulator CpxR-phosphorylated,cpxR,b2666,ECK2660,yqaEp
ygeQ,ygeQ,,,b2863,ECK2859,
entCEBA-ybdB,"entC,entE,entB,entA,entH","Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","fur,crp","b0593,b0594,b0595,b0596,b0597","ECK0586,ECK0587,ECK0588,ECK0589,ECK0590",entCp
sdaA,sdaA,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator Lrp","nac,lrp",b1814,ECK1812,sdaAp
yjbI,yjbI,,,b4038,ECK4030,
yjgL,yjgL,,,b4253,ECK4246,
