b_number	dN/dS	dN	dS
b3992	0.19139	0.0926	0.4837
b3993	0.1603	0.0927	0.5784
b3994	0.06331	0.035	0.5525
b3995	0.17098	0.0285	0.1667
b3996	0.06543	0.0183	0.279
b3997	NA	NA	NA
b3998	0.02137	0.0129	0.6018
b3999	0.05545	0.0222	0.3996
b4000	0.21686	0.0055	0.0252
b4001	0.03515	0.0176	0.4997
b4002	0.12699	0.067	0.5276
b4003	0.15861	0.1418	0.8938
b4004	0.08452	0.0658	0.7786
b4005	0.05421	0.0501	0.9235
b4006	0.04973	0.0381	0.7664
b4008	0.0001	0	0.0001
b4011	NA	NA	NA
b4012	0.25012	0.1567	0.6266
b4013	0.05727	0.0227	0.3964
b4014	0.09629	0.0536	0.5568
b4015	0.01768	0.0112	0.6348
b4016	0.04424	0.0411	0.9289
b4017	NA	NA	NA
b4018	0.03177	0.0248	0.7794
b4019	NA	NA	NA
b4020	0.01341	0.0086	0.6389
b4021	0.03654	0.0206	0.5643
b4022	NA	NA	NA
b4023	0.06561	0.0586	0.8934
b4024	0.06455	0.0272	0.4214
b4025	0.02049	0.0127	0.6197
b4026	NA	NA	NA
b4027	0.14061	0.0885	0.6294
b4028	0.12611	0.0909	0.7206
b4029	0.04218	0.0435	1.0316
b4620	1.48105	4.1731	2.8177
b4030	0.07079	0.0231	0.3259
b4031	0.11684	0.5761	4.9306
b4032	0.03698	0.0206	0.5566
b4033	0.03513	0.0205	0.5848
b4034	0.03504	0.0143	0.4079
b4035	NA	NA	NA
b4036	0.08612	0.0433	0.5026
b4037	0.07528	0.0389	0.5172
b4038	0.99833	6.8396	6.8511
b4039	0.28497	0.0476	0.1672
b4040	0.0397	0.0165	0.4166
b4041	0.01951	0.0118	0.607
b4042	0.01566	0.008	0.5081
b4043	0.0001	0	0.2578
b4044	0.07478	0.0467	0.6247
b4045	NA	NA	NA
b4046	0.06338	0.0294	0.4633
b4047	NA	NA	NA
b4048	NA	NA	NA
b4049	0.04354	0.031	0.7117
b4050	0.20436	0.0774	0.3787
b4051	NA	NA	NA
b4052	0.03803	0.0172	0.4517
b4053	0.07811	0.0648	0.8301
b4054	0.17045	0.0587	0.3444
b4621	NA	NA	NA
b4055	0.15788	0.0468	0.2964
b4056	0.10876	0.0244	0.2243
b4057	0.11221	0.089	0.7934
b4058	0.0058	0.0061	1.047
b4059	0.0001	0	0.3269
b4060	NA	NA	NA
b4061	NA	NA	NA
b4062	NA	NA	NA
b4063	0.05348	0.0182	0.341
b4459	0.15158	9.4379	62.2639
b4064	0.0235	0.0122	0.5195
b4065	0.0099	0.0056	0.5687
b4066	NA	NA	NA
b4067	0.01473	0.0145	0.9817
b4068	0.06713	0.0209	0.3109
b4069	0.05055	0.031	0.6126
b4070	0.05147	0.0162	0.3147
b4071	0.12123	0.021	0.1735
b4072	0.06234	0.0302	0.4845
b4073	0.07199	0.039	0.5413
b4074	NA	NA	NA
b4075	0.23239	0.1042	0.4483
b4076	0.19263	0.0863	0.4481
b4077	0.03049	0.0141	0.4639
b4078	0.02038	0.0082	0.4001
b4079	NA	NA	NA
b4080	0.09733	0.0576	0.5923
b4081	0.12664	0.0869	0.6859
b4082	0.04229	0.0289	0.6837
b4622	0.91674	0.1005	0.1097
b4083	NA	NA	NA
b4084	0.48829	0.0603	0.1236
b4085	0.10903	0.0303	0.2781
b4086	NA	NA	NA
b4087	NA	NA	NA
b4088	0.1415	0.0414	0.2923
b4089	0.03062	0.0047	0.154
b4090	NA	NA	NA
b4487	0.21575	0.1349	0.6254
b4092	0.13105	0.1663	1.2694
b4093	0.03816	0.0456	1.1944
b4094	0.1084	0.1171	1.0799
b4095	0.08563	0.2951	3.4466
b4096	0.05234	0.0866	1.6542
b4097	0.02009	0.0295	1.4699
b4098	0.03406	0.0482	1.4159
b4099	NA	NA	NA
b4100	0.09207	0.0801	0.8698
b4101	0.10559	0.121	1.1459
b4102	0.0462	0.0499	1.0809
b4104	NA	NA	NA
b4105	0.036	0.0487	1.3516
b4106	0.11386	0.1022	0.8973
b4107	0.05148	0.0478	0.9288
b4108	0.0592	0.0118	0.199
b4109	0.28749	0.0958	0.3331
b4110	0.26063	0.1075	0.4124
b4111	0.0001	0	0.3375
b4703	NA	NA	NA
b4112	0.17021	0.0462	0.2712
b4113	0.03589	0.0173	0.4807
b4114	0.07048	0.0583	0.8271
b4115	0.02959	0.0098	0.3323
b4116	0.05437	0.0156	0.2874
b4117	0.06552	0.0226	0.3452
b4118	NA	NA	NA
b4119	0.06039	0.0317	0.5241
b4120	0.13797	0.0142	0.103
b4121	0.26577	0.1099	0.4135
b4122	0.05381	0.027	0.5014
b4123	0.01863	0.006	0.3239
b4124	0.02643	0.0097	0.367
b4125	NA	NA	NA
b4126	NA	NA	NA
b4127	0.15843	0.0544	0.3432
b4128	0.02549	0.0092	0.3603
b4559	NA	NA	NA
b4129	0.02544	0.0121	0.4773
b4130	0.0936	0.0371	0.3965
b4131	0.02199	0.0058	0.2616
b4132	0.03921	0.0087	0.221
b4133	0.36215	0.0442	0.1221
b4654	NA	NA	NA
b4134	0.0001	0	0.0004
b4135	NA	NA	NA
b4136	0.17592	0.0475	0.2699
b4137	0.22977	0.0259	0.1125
b4138	0.04113	0.0077	0.1883
b4139	0.02366	0.0029	0.1238
b4140	0.07277	0.0272	0.3741
b4141	0.1038	0.0493	0.4749
b4142	NA	NA	NA
b4143	0.01763	0.0045	0.2555
b4144	0.55101	1.113	2.02
b4145	NA	NA	NA
b4146	0.11025	0.0703	0.6377
b4147	0.0001	0	0.2319
b4410	0.05138	2.1075	41.0196
b4411	0.0001	0	0.2081
b4148	0.04969	0.0185	0.3725
b4149	0.05454	0.089	1.6315
b4150	0.08768	0.2112	2.4091
b4151	0.20863	0.0455	0.2179
b4152	0.12669	0.0289	0.228
b4153	0.05213	0.0058	0.1109
b4154	0.01757	0.0081	0.4625
b4155	0.02729	0.0058	0.2128
b4156	0.07517	0.0375	0.4983
b4157	0.89204	2.3313	2.6134
b4158	NA	NA	NA
b4159	0.01657	0.0142	0.8594
b4160	0.04323	0.0272	0.6287
b4161	0.02528	0.0128	0.5072
b4162	0.02397	0.0124	0.5152
b4163	NA	NA	NA
b4164	NA	NA	NA
b4165	0.40081	0	0.0001
b4670	0.83626	2.843	3.3997
b4166	0.08215	0.0384	0.4679
b4167	0.16689	0.0764	0.4576
b4168	0.0001	0	0.1365
b4169	0.08095	0.0544	0.6721
b4170	0.07288	0.0482	0.6612
b4171	0.21793	0.0333	0.153
b4172	0.09383	0.0092	0.098
b4173	0.01802	0.0049	0.2696
b4174	0.03491	0.0104	0.2967
b4175	0.00442	0.0014	0.318
b4176	1.24081	0.041	0.033
b4177	0.0001	0	0.0307
b4178	0.10304	0.0112	0.1089
b4179	0.0342	0.0207	0.6043
b4180	0.01218	0.0062	0.5062
b4181	0.20184	0.0652	0.3228
b4182	0.0634	0.0323	0.509
b4183	0.14613	0.1102	0.7544
b4184	0.01051	0.0065	0.6222
b4185	0.10057	0.1069	1.0634
b4186	NA	NA	NA
b4187	0.09305	0.0488	0.5246
b4188	0.15987	0.0219	0.1367
b4189	0.45746	0.0562	0.1229
b4190	0.30264	0.1167	0.3855
b4191	0.01653	0.0082	0.4976
b4192	0.01418	0.0293	2.0638
b4193	0.02375	0.031	1.304
b4194	NA	NA	NA
b4195	0.02988	0.0526	1.7607
b4196	0.01051	0.0139	1.3198
b4197	0.02938	0.0362	1.233
b4198	0.04827	0.0907	1.8794
b4199	0.13486	0.0993	0.7365
b4200	NA	NA	NA
b4201	NA	NA	NA
b4202	999	0.0073	0
b4203	0.0001	0	0.0525
b4204	NA	NA	NA
b4205	NA	NA	NA
b4206	0.07189	0.129	1.7949
b4207	NA	NA	NA
b4208	0.0908	0.2606	2.8703
b4209	NA	NA	NA
b4210	0.09358	0.0564	0.6026
b4211	0.20601	0.1575	0.7644
b4212	0.05988	0.0362	0.6046
b4213	0.06643	0.0601	0.9051
b4214	0.05029	0.0279	0.5542
b4215	NA	NA	NA
b4216	0.04694	0.0229	0.4868
b4217	NA	NA	NA
b4218	NA	NA	NA
b4219	0.10949	0.0288	0.2627
b4220	0.03456	0.0197	0.5696
b4221	0.06246	0.0471	0.7545
b4222	0.1361	0.0106	0.0779
b4224	NA	NA	NA
b4225	0.65129	2.5959	3.9858
b4226	0.03349	0.0151	0.4508
b4227	0.02093	0.0227	1.0837
b4485	NA	NA	NA
b4230	NA	NA	NA
b4231	NA	NA	NA
b4232	0.01612	0.007	0.4355
b4233	0.06293	0.035	0.5569
b4234	0.02546	0.0152	0.5979
b4235	0.02067	0.0182	0.8795
b4236	0.10569	0.0534	0.5052
b4237	0.44566	0.0725	0.1626
b4238	NA	NA	NA
b4239	0.18001	0.0729	0.4052
b4240	0.08255	0.0907	1.0991
b4241	0.03689	0.0229	0.6197
b4702	0.05079	22.5613	444.213
b4242	0.01982	0.0129	0.6527
b4243	0.01479	0.0078	0.5259
b4244	0.02894	0.0183	0.6308
b4245	0.03826	0.0182	0.4761
b4246	NA	NA	NA
b4248	0.11115	0.0554	0.4982
b4249	0.48601	0.9446	1.9437
b4251	NA	NA	NA
b4252	0.09362	0.1915	2.0451
b4253	NA	NA	NA
b4254	NA	NA	NA
b4255	0.11406	0.0824	0.7224
b4256	0.08792	0.1278	1.4538
b4257	0.21446	2.2612	10.5436
b4258	0.02092	0.0065	0.3126
b4259	0.10125	0.021	0.2076
b4260	0.0001	0.0001	1.2219
b4261	0.05361	0.0174	0.3238
b4262	NA	NA	NA
b4263	NA	NA	NA
b4264	0.3331	0.0204	0.0613
b4265	0.10246	0.0109	0.1059
b4266	0.10756	1.127	10.4775
b4267	NA	NA	NA
b4268	0.30236	0.0445	0.1472
b4269	0.03941	0.0715	1.8137
b4270	174.11011	0.0004	0
b4271	0.0761	1.7449	22.9299
b4272	0.04481	0.0096	0.2151
b4273	1.05181	1.1204	1.0652
b4575	NA	NA	NA
b4277	0.44455	0.3382	0.7607
b4278	NA	NA	NA
b4279	NA	NA	NA
b4280	1.26401	5.0729	4.0133
b4655	NA	NA	NA
b4281	42.19701	278.8737	6.6088
b4282	1.38895	4.3239	3.1131
b4623	NA	NA	NA
b4284	1.64387	0.3258	0.1982
b4561	1.26303	5.6168	4.447
b4286	NA	NA	NA
b4287	0.32384	0.6962	2.1498
b4288	1.1067	1.943	1.7556
b4289	NA	NA	NA
b4290	0.50306	0.0097	0.0193
b4291	0.83705	0.0204	0.0243
b4292	NA	NA	NA
b4293	NA	NA	NA
b4294	NA	NA	NA
b4576	NA	NA	NA
b4295	0.81718	1.7131	2.0963
b4296	0.06434	0.0011	0.0172
b4297	0.21994	0.0023	0.0102
b4298	0.40967	0.9862	2.4074
b4299	1.22794	3.0723	2.502
b4300	NA	NA	NA
b4301	NA	NA	NA
b4302	0.99756	2.5789	2.5852
b4624	NA	NA	NA
b4303	0.0001	0	0.0107
b4304	0.44096	0.0023	0.0052
b4565	1.00809	8.6734	8.6038
b4305	NA	NA	NA
b4656	0.99627	15.4538	15.5117
b4306	NA	NA	NA
b4307	0.1615	0.0422	0.2612
b4566	0.46951	1.9989	4.2573
b4657	1.15591	5.4724	4.7342
b4308	NA	NA	NA
b4309	0.2836	0.6462	2.2784
b4310	NA	NA	NA
b4311	0.05561	0.0159	0.2866
b4312	NA	NA	NA
b4313	NA	NA	NA
b4314	0.16851	0.548	3.252
b4315	0.10783	0.4686	4.3458
b4316	0.09048	0.4738	5.2369
b4317	NA	NA	NA
b4318	0.14392	0.0576	0.4004
b4319	0.06355	0.0282	0.4439
b4320	0.19182	0.0523	0.2728
b4321	NA	NA	NA
b4322	0.04218	0.0338	0.8021
b4323	0.03082	0.0253	0.822
b4324	0.05434	0.0304	0.5588
b4325	0.71735	2.6348	3.673
b4326	0.20863	0.2161	1.0358
b4327	NA	NA	NA
b4328	0.08237	0.0431	0.5237
b4329	0.41984	1.2375	2.9475
b4330	NA	NA	NA
b4331	0.12052	0.103	0.8545
b4332	0.14777	0.1521	1.0295
b4333	0.13643	0.1789	1.3111
b4334	0.139	0.0881	0.6342
b4335	0.07961	0.0698	0.8772
b4336	NA	NA	NA
b4337	0.07345	0.1162	1.5815
b4339	0.07044	0.0948	1.3461
b4340	NA	NA	NA
b4341	NA	NA	NA
b4342	1.64459	2.3445	1.4256
b4486	NA	NA	NA
b4345	NA	NA	NA
b4346	NA	NA	NA
b4347	0.52052	4.908	9.429
b4625	1.82724	6.9183	3.7862
b4348	NA	NA	NA
b4349	NA	NA	NA
b4350	NA	NA	NA
b4351	1.18082	1.1066	0.9371
b4352	0.02171	0.0234	1.0784
b4353	0.04763	0.0084	0.1771
b4354	0.05684	0.0473	0.8329
b4355	0.07699	0.0254	0.3297
b4356	NA	NA	NA
b4357	NA	NA	NA
b4358	0.08687	0.0538	0.6191
b4359	0.04288	0.0284	0.6627
b4360	0.14711	0.0582	0.3958
b4361	0.09072	0.0391	0.4307
b4362	0.15111	0.0534	0.3534
b4363	0.01885	0.0138	0.7298
b4364	0.05121	0.0286	0.5589
b4365	0.10627	0.0365	0.3435
b4366	0.07878	0.0351	0.4459
b4367	0.17436	0.1386	0.7951
b4567	NA	NA	NA
b4368	NA	NA	NA
b4369	NA	NA	NA
b4370	NA	NA	NA
b4371	0.05993	0.0554	0.9237
b4372	NA	NA	NA
b4373	0.14697	0.0416	0.2828
b4374	NA	NA	NA
b4375	0.01691	0.019	1.1214
b4376	0.09024	0.0508	0.5625
b4568	0.0001	0	0.0989
b4377	0.05657	0.0302	0.5344
b4378	NA	NA	NA
b4379	0.12049	0.1598	1.3263
b4380	0.05079	0.0462	0.9089
b4381	0.02337	0.0181	0.7767
b4382	0.0135	0.0116	0.8631
b4383	0.02027	0.0119	0.589
b4384	0.01332	0.0079	0.5961
b4385	0.18114	0.0326	0.1799
b4386	0.09842	0.1234	1.2535
b4387	0.02947	0.0181	0.6141
b4388	0.0195	0.012	0.6138
b4389	0.02217	0.0122	0.5514
b4390	0.01655	0.0181	1.0949
b4391	0.01775	0.0122	0.6891
b4392	0.03491	0.0214	0.6137
b4393	0.11723	0.0382	0.3255
b4394	0.08	0.0622	0.7769
b4395	0.05585	0.0229	0.4092
b4396	0.03403	0.0133	0.3911
b4397	0.01093	0.0034	0.3077
b4398	0.13109	0.0429	0.3274
b4399	0.14408	0.061	0.4232
b4400	0.17052	0.0778	0.4562
b4401	0.06233	0.0079	0.1266
b4402	NA	NA	NA
b4403	0.07376	0.0405	0.549
